mof_name,split
ADOBEB_charged,train
ANUGEW_deen_33,train
AQUCOG_0.11_0_deen_11,train
AQUCOG_0.11_0_dmen_5.5,train
ATOWIQ,train
BETGEO,train
CAXVOO_0.08_0_eeen_14,train
CAXVOO_0.08_0_een_33,train
CAXVOO_0.08_0_mmen_14,train
CAXVOO_0.08_0_nmen_9.5,train
CAXVOO_nmen_16,train
CAXWEF_0.08_0_en_60,train
CITZIP_manual,train
COKMIA_0.05_0_een_5.5,train
COKMUM_deen_16,train
COKQIE_0.11_0,train
CUSYIA,train
DEBWAK,train
DEBWAK_0.08_1,train
ECEDAU,train
ELIKAM,train
ENITAX,train
ENITAX_0.12_0,train
EPONEE,train
EQERAU,train
EZABEN_0.02_0,train
FAHPOV,train
FAHPOV_0.08_0,train
FAKLUA,train
FAKLUA_0.08_0,train
FERWAC,train
FERWAC_0.07_1,train
FIJZEE,train
FUBNOH,train
GACVIS,train
GACVIS_0.12_0,train
GAGSUF_0.08_0_linker_0_27,train
HUCXAG,train
IBUBIT_0.03_1_dmen_11,train
IBUBIT_dmen_100,train
IBUBIT_eeen_12,train
IHILUI,train
IJUTEM,train
IRISAD,train
ITIWUE_charged,train
JOFKIA_0.05_0,train
JOFKIA_0.08_0,train
JOFKIA_0.16_0,train
JOKYEN_0.03_0,train
JOQSOZ,train
JOQSOZ_0.12_0,train
JOYKUF_tmen_100,train
KASRAZ,train
KINNIG,train
KOSMAI,train
KOSMAI_0.08_0,train
KOSMAI_0.16_0,train
KUQXIE,train
LASREF_mden_66,train
LAWGIA,train
LAWGIA_0.16_0,train
LAZJAZ_SL,train
LEDHEJ,train
LUMYEZ_0.08_0,train
LUMYEZ_0.08_1,train
LUSHOX02_0.06_0,train
MALROJ_0.11_0_en_94,train
MIMSUY_0.04_0_dmen_22,train
MIMSUY_0.04_1_mden_33,train
MINCUJ,train
NALYEG_linker_0_16,train
NARPUU,train
NOKLIJ_0.08_0_tmen_4.5,train
NOKLIJ_0.11_0_en_37,train
OGEBAF01_een_22,train
OGEBAF01_een_27,train
OGEBAF01_en_22,train
OYERER,train
OYUSAD_charged,train
PAJSAX_0.02_0_ipen_100,train
PIBPIA_ipen_25,train
PIBPIA_mmen_12,train
PIHNUQ,train
PULMIU,train
QISNAJ,train
QITYOI,train
RAVVUH_0.16_0_eeen_16,train
RAVVUH_0.16_0_tmen_50,train
RAVWES_0.16_0_een_8.3,train
RAVXAP_ipen_83,train
SAHYIL_charged,train
SOCLAZ,train
SODZIV,train
SODZIV_0.04_0,train
SODZIV_0.08_0,train
SODZIV_0.08_1,train
TADYEE,train
TASXIW_0.12_2,train
TIXCIO_0.06_0,train
TUMQID,train
UGOSOY_charged,train
UTEXIB,train
UTEXIB_0.12_0,train
VEGMOK_charged,train
VEGMOK_charged_0.06_0,train
VUGXAY,train
VUGXIG,train
VUHJAK_0.08_0,train
VUQKOI,train
WAMREJ_mden_87,train
WUTBOC,train
XAFFOB,train
XAHPIH_mden_50,train
XEHSIN,train
XEHSIN_0.01_0,train
XEHSIN_0.04_0,train
XIGFOJ_manual_0.08_0_en_100,train
XIHRIQ,train
XOGXAU,train
XOVVEK,train
XUKLAS,train
XUKLAS_0.16_0,train
YEFNOM,train
YIWBEN,train
YIWBEN_0.06_0,train
YUXQIS_0.08_0_een_100,train
ZAGHAT,train
cm503311x_aloh400K,train
ic402058f_si_002,train
ja300034j_si_002_0.16_0_mmen_18,train
ja300034j_si_002_eeen_50,train
ja506357n_si_002,train
ja506357n_si_002_0.06_0,train
ja5b02897_si_003_0.08_0_en_12,train
jz4002345_si_002_0.08_0,train
AJAKON,val
CAXVOO_0.08_0_eeen_19,val
CAXWEF_0.08_0_mmen_60,val
COKMIA_0.05_0_nmen_13,val
COKQIE,val
DICVAO,val
EWASIG01,val
EZABEN,val
FIJZEE_0.02_0,val
HAVVUX_0.08_0,val
IJUTEM_0.04_0,val
JOFKIA_0.04_0,val
JOKYEN,val
LAGQOB,val
LASREF_deen_25,val
LASREF_mden_41,val
LAWGIA_0.04_0,val
LAWGIA_0.08_0,val
LUKLIN_tmen_25,val
LUMYEZ,val
OYUSAD_charged_0.12_0,val
TASXIW,val
TIXCIO_0.12_0,val
VAXMUF,val
YIWBEN_0.12_0,val
YIWBEN_0.12_1,val
cg500121f_si_004,val
ja300034j_si_002_eeen_16,val
jz4002345_si_002_0.16_0,val
ATOWIQ_0.04_1,test
ATOWIQ_0.16_0,test
ATOWIQ_0.16_1,test
COKNAT_0.11_0_mmen_20,test
COKPEZ_mmen_5.5,test
CUKXAJ,test
DAGDIZ,test
ENITAX_0.06_0,test
FIJZEE_0.04_0,test
HAHPIQ_charged,test
HAHPIQ_charged_0.08_0,test
HAVVUX,test
HAXMUP,test
IBUBIT_deen_75,test
JOFKIA,test
NESVAK_charged,test
NOKLIJ_0.08_0_deen_9.0,test
OQIQOW,test
RILVOZ,test
TIXCIO,test
TUMQID_0.12_0,test
VEGMOK_charged_0.12_0,test
VIWZOR,test
VUHJAK,test
XEHSIN_0.02_0,test
XIGFOJ_manual_deen_100,test
YEGKOM,test
ic502643m_si_007_eeen_100,test
ja506357n_si_002_0.12_0,test
jz4002345_si_002,test
